County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,DOL Vehicle ID,Vehicle Location,Electric Utility
India,Mumbai,Maharashtra,832180,2018,Ola Electric,450X,Battery Electric Vehicle (BEV),Eligible,151,1010268,100001,"Mumbai, Maharashtra",TNEB
India,Mumbai,Maharashtra,291335,2018,BYD India,XUV400,Battery Electric Vehicle (BEV),Eligible,452,3172355,100002,"Mumbai, Maharashtra",GUVNL
India,Mumbai,Maharashtra,299041,2018,Ather Energy,ZS EV,Battery Electric Vehicle (BEV),Eligible,493,2725573,100003,"Mumbai, Maharashtra",UPPCL
India,Mumbai,Maharashtra,586232,2018,Tata Motors,S1 Pro,Battery Electric Vehicle (BEV),Eligible,332,2207371,100004,"Mumbai, Maharashtra",TNEB
India,Mumbai,Maharashtra,552366,2018,BYD India,ZS EV,Battery Electric Vehicle (BEV),Eligible,267,1548143,100005,"Mumbai, Maharashtra",GUVNL
India,Mumbai,Maharashtra,431236,2018,Mahindra Electric,S1 Pro,Battery Electric Vehicle (BEV),Eligible,399,3270690,100006,"Mumbai, Maharashtra",UPPCL
India,Mumbai,Maharashtra,339629,2018,Tata Motors,Atto 3,Battery Electric Vehicle (BEV),Not Eligible,168,4285659,100007,"Mumbai, Maharashtra",Adani Electricity
India,Mumbai,Maharashtra,778843,2018,MG Motor India,450X,Battery Electric Vehicle (BEV),Eligible,171,3903758,100008,"Mumbai, Maharashtra",UPPCL
India,Mumbai,Maharashtra,824839,2018,TVS Motor,Atto 3,Battery Electric Vehicle (BEV),Eligible,160,3457489,100009,"Mumbai, Maharashtra",GUVNL
India,Mumbai,Maharashtra,538974,2018,Hyundai EV,Kona EV,Battery Electric Vehicle (BEV),Not Eligible,389,1171836,100010,"Mumbai, Maharashtra",TPDDL
India,Mumbai,Maharashtra,635822,2018,MG Motor India,ZS EV,Plug-in Hybrid Electric Vehicle (PHEV),Eligible,349,3947262,100011,"Mumbai, Maharashtra",TPDDL
India,Mumbai,Maharashtra,567281,2018,Tata Motors,Kona EV,Battery Electric Vehicle (BEV),Eligible,287,1972876,100012,"Mumbai, Maharashtra",BESCOM
India,Mumbai,Maharashtra,937646,2018,Tata Motors,S1 Pro,Battery Electric Vehicle (BEV),Eligible,120,2510908,100013,"Mumbai, Maharashtra",Adani Electricity
India,Mumbai,Maharashtra,803550,2018,BYD India,Nexon EV,Battery Electric Vehicle (BEV),Not Eligible,215,3645815,100014,"Mumbai, Maharashtra",Adani Electricity
India,Mumbai,Maharashtra,234633,2018,TVS Motor,XUV400,Battery Electric Vehicle (BEV),Eligible,458,4346532,100015,"Mumbai, Maharashtra",Adani Electricity
India,Mumbai,Maharashtra,938688,2018,Ola Electric,Atto 3,Plug-in Hybrid Electric Vehicle (PHEV),Eligible,347,4421441,100016,"Mumbai, Maharashtra",GUVNL
India,Mumbai,Maharashtra,124538,2018,TVS Motor,450X,Battery Electric Vehicle (BEV),Eligible,439,2221685,100017,"Mumbai, Maharashtra",TNEB
India,Mumbai,Maharashtra,723094,2018,Ather Energy,Atto 3,Battery Electric Vehicle (BEV),Eligible,336,1114020,100018,"Mumbai, Maharashtra",TNEB
India,Mumbai,Maharashtra,353618,2018,Tata Motors,Atto 3,Battery Electric Vehicle (BEV),Eligible,121,2916716,100019,"Mumbai, Maharashtra",Adani Electricity
India,Mumbai,Maharashtra,205878,2018,Ola Electric,450X,Battery Electric Vehicle (BEV),Eligible,301,3732868,100020,"Mumbai, Maharashtra",TNEB
India,Mumbai,Maharashtra,979858,2018,Ather Energy,S1 Pro,Plug-in Hybrid Electric Vehicle (PHEV),Eligible,406,3859034,100021,"Mumbai, Maharashtra",BESCOM
India,Mumbai,Maharashtra,981691,2018,MG Motor India,450X,Battery Electric Vehicle (BEV),Eligible,213,2961083,100022,"Mumbai, Maharashtra",TPDDL
India,Mumbai,Maharashtra,668550,2018,Hyundai EV,Kona EV,Battery Electric Vehicle (BEV),Not Eligible,427,4460920,100023,"Mumbai, Maharashtra",Adani Electricity
India,Mumbai,Maharashtra,679304,2018,Tata Motors,XUV400,Battery Electric Vehicle (BEV),Eligible,195,1027948,100024,"Mumbai, Maharashtra",GUVNL
India,Mumbai,Maharashtra,637833,2018,TVS Motor,XUV400,Battery Electric Vehicle (BEV),Eligible,244,1128576,100025,"Mumbai, Maharashtra",TNEB
India,Mumbai,Maharashtra,547600,2018,Hyundai EV,iQube,Battery Electric Vehicle (BEV),Eligible,312,3115603,100026,"Mumbai, Maharashtra",BESCOM
India,Mumbai,Maharashtra,516880,2018,Ola Electric,S1 Pro,Battery Electric Vehicle (BEV),Eligible,465,2431266,100027,"Mumbai, Maharashtra",Adani Electricity
India,Mumbai,Maharashtra,494070,2018,Mahindra Electric,Nexon EV,Plug-in Hybrid Electric Vehicle (PHEV),Eligible,299,3895765,100028,"Mumbai, Maharashtra",Adani Electricity
India,Mumbai,Maharashtra,225657,2018,Tata Motors,XUV400,Battery Electric Vehicle (BEV),Not Eligible,132,1737291,100029,"Mumbai, Maharashtra",TPDDL
India,Mumbai,Maharashtra,792517,2018,BYD India,XUV400,Battery Electric Vehicle (BEV),Eligible,480,3808926,100030,"Mumbai, Maharashtra",TPDDL
India,Mumbai,Maharashtra,518400,2018,MG Motor India,Kona EV,Battery Electric Vehicle (BEV),Eligible,319,3019823,100031,"Mumbai, Maharashtra",TNEB
India,Mumbai,Maharashtra,418394,2018,Hyundai EV,iQube,Battery Electric Vehicle (BEV),Eligible,227,4179611,100032,"Mumbai, Maharashtra",BESCOM
India,Mumbai,Maharashtra,314835,2018,Mahindra Electric,Atto 3,Battery Electric Vehicle (BEV),Not Eligible,431,2933350,100033,"Mumbai, Maharashtra",BESCOM
India,Mumbai,Maharashtra,710269,2018,TVS Motor,Nexon EV,Battery Electric Vehicle (BEV),Eligible,513,2756926,100034,"Mumbai, Maharashtra",TPDDL
India,Mumbai,Maharashtra,757409,2018,TVS Motor,ZS EV,Plug-in Hybrid Electric Vehicle (PHEV),Not Eligible,139,1273616,100035,"Mumbai, Maharashtra",GUVNL
India,Mumbai,Maharashtra,480002,2018,Ola Electric,450X,Plug-in Hybrid Electric Vehicle (PHEV),Eligible,88,3266696,100036,"Mumbai, Maharashtra",TNEB
India,Mumbai,Maharashtra,522515,2018,Ola Electric,iQube,Battery Electric Vehicle (BEV),Eligible,240,2747191,100037,"Mumbai, Maharashtra",TPDDL
India,Mumbai,Maharashtra,757917,2018,Hyundai EV,iQube,Battery Electric Vehicle (BEV),Not Eligible,306,1812495,100038,"Mumbai, Maharashtra",Adani Electricity
India,Mumbai,Maharashtra,102869,2018,Ather Energy,ZS EV,Battery Electric Vehicle (BEV),Eligible,417,2026081,100039,"Mumbai, Maharashtra",UPPCL
India,Mumbai,Maharashtra,977844,2018,Tata Motors,S1 Pro,Battery Electric Vehicle (BEV),Eligible,368,4033837,100040,"Mumbai, Maharashtra",TNEB
India,Mumbai,Maharashtra,381974,2018,Tata Motors,iQube,Battery Electric Vehicle (BEV),Eligible,450,3435893,100041,"Mumbai, Maharashtra",GUVNL
India,Mumbai,Maharashtra,250810,2018,Hyundai EV,Kona EV,Battery Electric Vehicle (BEV),Eligible,517,4444839,100042,"Mumbai, Maharashtra",UPPCL
India,Mumbai,Maharashtra,145714,2018,Hyundai EV,Nexon EV,Battery Electric Vehicle (BEV),Eligible,396,1629903,100043,"Mumbai, Maharashtra",Adani Electricity
India,Mumbai,Maharashtra,182989,2018,TVS Motor,Nexon EV,Plug-in Hybrid Electric Vehicle (PHEV),Not Eligible,237,4351356,100044,"Mumbai, Maharashtra",TNEB
India,Mumbai,Maharashtra,231373,2018,Ola Electric,Nexon EV,Plug-in Hybrid Electric Vehicle (PHEV),Not Eligible,428,2831760,100045,"Mumbai, Maharashtra",TNEB
India,Mumbai,Maharashtra,368246,2018,Ola Electric,Nexon EV,Battery Electric Vehicle (BEV),Eligible,332,2326388,100046,"Mumbai, Maharashtra",TNEB
India,Mumbai,Maharashtra,465890,2018,TVS Motor,ZS EV,Battery Electric Vehicle (BEV),Eligible,302,2889173,100047,"Mumbai, Maharashtra",BESCOM
India,Mumbai,Maharashtra,635017,2018,TVS Motor,Atto 3,Plug-in Hybrid Electric Vehicle (PHEV),Not Eligible,206,4127802,100048,"Mumbai, Maharashtra",Adani Electricity
India,Mumbai,Maharashtra,467654,2018,TVS Motor,Nexon EV,Battery Electric Vehicle (BEV),Eligible,325,1398863,100049,"Mumbai, Maharashtra",BESCOM
India,Mumbai,Maharashtra,580761,2018,Mahindra Electric,ZS EV,Plug-in Hybrid Electric Vehicle (PHEV),Eligible,92,3217115,100050,"Mumbai, Maharashtra",TPDDL
India,Mumbai,Maharashtra,712210,2018,Ather Energy,S1 Pro,Battery Electric Vehicle (BEV),Eligible,479,2432875,100051,"Mumbai, Maharashtra",TPDDL
India,Mumbai,Maharashtra,193848,2018,MG Motor India,ZS EV,Battery Electric Vehicle (BEV),Eligible,421,1018834,100052,"Mumbai, Maharashtra",GUVNL
India,Mumbai,Maharashtra,170313,2018,Ather Energy,Kona EV,Battery Electric Vehicle (BEV),Not Eligible,421,1979600,100053,"Mumbai, Maharashtra",GUVNL
India,Mumbai,Maharashtra,351451,2018,Mahindra Electric,S1 Pro,Battery Electric Vehicle (BEV),Eligible,343,2885588,100054,"Mumbai, Maharashtra",UPPCL
India,Mumbai,Maharashtra,562894,2018,BYD India,S1 Pro,Battery Electric Vehicle (BEV),Eligible,451,1849597,100055,"Mumbai, Maharashtra",TPDDL
India,Mumbai,Maharashtra,322866,2018,TVS Motor,450X,Plug-in Hybrid Electric Vehicle (PHEV),Eligible,185,3867197,100056,"Mumbai, Maharashtra",TNEB
India,Mumbai,Maharashtra,108308,2018,Ola Electric,ZS EV,Battery Electric Vehicle (BEV),Eligible,308,4077945,100057,"Mumbai, Maharashtra",Adani Electricity
India,Mumbai,Maharashtra,277247,2018,Ola Electric,450X,Battery Electric Vehicle (BEV),Eligible,201,1703328,100058,"Mumbai, Maharashtra",Adani Electricity
India,Mumbai,Maharashtra,546438,2018,TVS Motor,450X,Battery Electric Vehicle (BEV),Eligible,351,1306716,100059,"Mumbai, Maharashtra",UPPCL
India,Mumbai,Maharashtra,167215,2018,Hyundai EV,450X,Battery Electric Vehicle (BEV),Eligible,155,3509305,100060,"Mumbai, Maharashtra",GUVNL
India,Mumbai,Maharashtra,965264,2018,Tata Motors,450X,Battery Electric Vehicle (BEV),Eligible,148,2648014,100061,"Mumbai, Maharashtra",GUVNL
India,Mumbai,Maharashtra,790607,2018,Ola Electric,450X,Battery Electric Vehicle (BEV),Not Eligible,297,3773817,100062,"Mumbai, Maharashtra",TPDDL
India,Mumbai,Maharashtra,647337,2018,Tata Motors,Kona EV,Battery Electric Vehicle (BEV),Not Eligible,102,1790617,100063,"Mumbai, Maharashtra",TPDDL
India,Mumbai,Maharashtra,987225,2018,MG Motor India,S1 Pro,Battery Electric Vehicle (BEV),Eligible,329,4418098,100064,"Mumbai, Maharashtra",UPPCL
India,Mumbai,Maharashtra,786337,2018,Ather Energy,S1 Pro,Battery Electric Vehicle (BEV),Eligible,415,4412054,100065,"Mumbai, Maharashtra",TNEB
India,Mumbai,Maharashtra,453824,2018,Ola Electric,iQube,Battery Electric Vehicle (BEV),Eligible,242,3949851,100066,"Mumbai, Maharashtra",TNEB
India,Mumbai,Maharashtra,604999,2018,Mahindra Electric,450X,Battery Electric Vehicle (BEV),Not Eligible,144,1986880,100067,"Mumbai, Maharashtra",TPDDL
India,Mumbai,Maharashtra,721820,2018,Ather Energy,450X,Battery Electric Vehicle (BEV),Eligible,381,3664673,100068,"Mumbai, Maharashtra",TNEB
India,Mumbai,Maharashtra,437497,2018,BYD India,Nexon EV,Battery Electric Vehicle (BEV),Eligible,172,1538873,100069,"Mumbai, Maharashtra",TNEB
India,Mumbai,Maharashtra,635626,2018,Tata Motors,Atto 3,Battery Electric Vehicle (BEV),Not Eligible,193,1057164,100070,"Mumbai, Maharashtra",TPDDL
