State,EV_Count,Average_Range,Average_Price,Market_Share_%
Tamil Nadu,2287,294.0275470048098,2705079.74814167,8.96
Maharashtra,2262,296.4504862953139,2718148.42086649,8.86
Rajasthan,2195,298.34760820045557,2704548.090660592,8.6
Uttar Pradesh,2187,300.267946959305,2722003.850022862,8.57
Gujarat,2177,296.40055121727147,2709415.0463941204,8.53
Karnataka,2172,306.8402394106814,2703077.1395027624,8.51
Telangana,1495,297.67826086956524,2658106.6267558527,5.86
Odisha,1474,296.1974219810041,2714841.6770691993,5.77
Bihar,1463,292.8133971291866,2727678.4292549556,5.73
West Bengal,1456,295.7548076923077,2744588.618818681,5.7
Andhra Pradesh,1443,296.7068607068607,2712567.654885655,5.65
Haryana,1431,292.8623340321453,2692861.4402515725,5.6
Punjab,1402,303.36590584878746,2694345.1155492156,5.49
Kerala,1389,303.1893448524118,2653175.279337653,5.44
Delhi,700,308.51,2668308.5342857144,2.74
