State,City,EV_Count,Average_Range,Average_Price
Tamil Nadu,Chennai,795,293.4867924528302,2682623.6955974842
Odisha,Cuttack,788,288.40989847715736,2676640.994923858
Uttar Pradesh,Kanpur,785,313.687898089172,2747278.742675159
Tamil Nadu,Coimbatore,784,300.4859693877551,2680660.1441326533
Rajasthan,Udaipur,783,298.0510855683269,2705515.367816092
Maharashtra,Mumbai,776,292.6404639175258,2709674.777061856
West Bengal,Kolkata,763,296.28047182175624,2772130.0511140237
Telangana,Hyderabad,761,295.01051248357425,2678448.9724047305
Bihar,Patna,761,293.1419185282523,2717390.944809461
Andhra Pradesh,Visakhapatnam,757,299.5310435931308,2716039.645970938
Maharashtra,Nagpur,757,298.7014531043593,2763634.207397622
Haryana,Faridabad,749,295.05607476635515,2704917.8825100134
Karnataka,Mangaluru,742,303.42048517520215,2695658.130727763
Gujarat,Ahmedabad,740,297.2175675675676,2704642.801351351
Punjab,Amritsar,737,307.2632293080054,2687465.207598372
Rajasthan,Jodhpur,737,298.6702849389417,2700922.4301221166
Telangana,Warangal,734,300.4441416893733,2637015.993188011
Maharashtra,Pune,729,298.1687242798354,2679935.536351166
Gujarat,Surat,726,296.94628099173553,2718081.61707989
Karnataka,Bengaluru,715,310.4321678321678,2726621.493706294
Karnataka,Mysuru,715,306.7972027972028,2687231.9524475522
Gujarat,Vadodara,711,294.9929676511955,2705532.5302390996
Tamil Nadu,Madurai,708,287.4830508474576,2757336.1483050846
Uttar Pradesh,Lucknow,705,292.64255319148936,2677839.2482269504
Bihar,Gaya,702,292.45726495726495,2738830.531339031
Delhi,New Delhi,700,308.51,2668308.5342857144
Kerala,Thiruvananthapuram,699,299.18741058655223,2639929.572246066
Uttar Pradesh,Noida,697,292.86657101865137,2738209.3787661404
West Bengal,Siliguri,693,295.17604617604616,2714265.2236652235
Kerala,Kochi,690,307.24347826086955,2666593.756521739
Andhra Pradesh,Vijayawada,686,293.59037900874637,2708736.317784257
Odisha,Bhubaneswar,686,305.14285714285717,2758722.3440233236
Haryana,Gurugram,682,290.4530791788856,2679620.5674486803
Rajasthan,Jaipur,675,298.3392592592593,2707384.7333333334
Punjab,Ludhiana,665,299.0466165413534,2701969.915789474
