Make,Model,EV_Count,Average_Range,Maximum_Range,Average_Price
Tata Motors,ZS EV,436,306.60779816513764,519,2684433.6444954127
Ola Electric,Nexon EV,433,306.44803695150114,519,2754337.5103926095
BYD India,iQube,431,295.52668213457076,517,2612796.046403712
TVS Motor,450X,429,304.75524475524475,517,2707121.6083916086
Mahindra Electric,ZS EV,427,307.2857142857143,519,2750551.606557377
MG Motor India,Kona EV,423,297.0307328605201,517,2697163.929078014
Tata Motors,XUV400,421,286.1163895486936,518,2655930.427553444
Tata Motors,iQube,421,291.28978622327793,519,2641409.6413301663
BYD India,450X,419,287.91885441527444,518,2691303.3198090694
TVS Motor,Atto 3,416,291.2331730769231,518,2756463.7139423075
TVS Motor,Kona EV,415,304.57590361445784,517,2658574.8433734938
Ather Energy,Kona EV,412,311.4271844660194,518,2673457.286407767
BYD India,Atto 3,411,306.86861313868616,519,2739919.97080292
Mahindra Electric,XUV400,411,305.0632603406326,519,2725682.9562043794
BYD India,ZS EV,410,300.6951219512195,519,2662153.6707317075
Hyundai EV,Kona EV,408,299.63235294117646,518,2758576.036764706
MG Motor India,ZS EV,408,288.3651960784314,517,2732720.9975490198
Tata Motors,Nexon EV,408,306.1151960784314,519,2766088.1421568627
Tata Motors,450X,408,304.4779411764706,517,2804860.007352941
BYD India,Nexon EV,408,302.16911764705884,518,2628660.9901960786
Mahindra Electric,450X,407,288.00737100737103,519,2775314.3562653563
Ather Energy,Nexon EV,407,293.09090909090907,517,2739441.358722359
Mahindra Electric,Atto 3,407,287.8353808353808,517,2722443.312039312
Mahindra Electric,S1 Pro,407,287.4127764127764,519,2715429.950859951
Ather Energy,ZS EV,406,307.5911330049261,519,2806989.359605911
TVS Motor,XUV400,405,298.22222222222223,519,2675037.409876543
Ather Energy,S1 Pro,405,301.9456790123457,518,2666354.696296296
Hyundai EV,iQube,403,294.1042183622829,519,2632217.6054590573
MG Motor India,Nexon EV,403,296.20843672456573,517,2757225.682382134
Ola Electric,S1 Pro,402,292.83830845771143,517,2692063.726368159
MG Motor India,iQube,402,306.94278606965173,518,2689053.6119402987
Mahindra Electric,Nexon EV,402,306.37810945273634,519,2653191.3233830845
TVS Motor,Nexon EV,402,301.78109452736317,519,2721246.1666666665
Ola Electric,Kona EV,401,293.2069825436409,514,2641193.4912718204
Ola Electric,ZS EV,401,303.98753117206985,519,2663807.7780548627
Ather Energy,450X,400,302.26,518,2776330.805
TVS Motor,ZS EV,400,289.3475,519,2754261.9525
Mahindra Electric,Kona EV,399,306.11027568922304,519,2580033.1403508773
Ather Energy,Atto 3,396,297.8131313131313,518,2618549.4191919193
BYD India,S1 Pro,395,294.1544303797468,516,2755543.9367088606
MG Motor India,450X,395,304.14683544303796,519,2656850.541772152
BYD India,XUV400,394,299.71573604060916,519,2730374.4187817257
Ather Energy,iQube,392,298.5357142857143,519,2724941.951530612
MG Motor India,XUV400,391,297.2736572890026,518,2690301.1253196932
Tata Motors,S1 Pro,391,302.18158567774935,519,2722319.895140665
TVS Motor,S1 Pro,391,303.7161125319693,517,2742370.1943734013
Ola Electric,450X,391,296.16624040920715,519,2705867.452685422
Hyundai EV,ZS EV,390,290.55641025641023,518,2669992.3435897436
Tata Motors,Atto 3,386,292.979274611399,518,2642809.4715025905
Hyundai EV,450X,384,295.4244791666667,517,2700199.65625
Hyundai EV,S1 Pro,382,290.0445026178011,519,2704996.096858639
Hyundai EV,Atto 3,381,307.0813648293963,519,2700009.196850394
Ola Electric,iQube,380,299.62631578947367,517,2726676.8105263156
Ather Energy,XUV400,379,291.44591029023746,519,2798408.588390501
Tata Motors,Kona EV,379,296.7203166226913,517,2633011.480211082
BYD India,Kona EV,378,298.7857142857143,515,2710231.9285714286
TVS Motor,iQube,378,287.6746031746032,518,2693202.224867725
Hyundai EV,XUV400,378,302.15343915343914,519,2705563.994708995
Hyundai EV,Nexon EV,374,289.03743315508024,519,2761095.310160428
MG Motor India,S1 Pro,372,288.44086021505376,518,2639627.005376344
Ola Electric,Atto 3,367,304.4059945504087,518,2708010.1253405996
Ola Electric,XUV400,365,294.44931506849315,519,2736770.106849315
MG Motor India,Atto 3,361,302.7534626038781,519,2740552.6620498616
Mahindra Electric,iQube,349,302.84240687679085,519,2716465.575931232
