Make,Model,Average_Range,Maximum_Range,Vehicle_Count
Ather Energy,Kona EV,311.4271844660194,518,412
Ather Energy,ZS EV,307.5911330049261,519,406
Mahindra Electric,ZS EV,307.2857142857143,519,427
Hyundai EV,Atto 3,307.0813648293963,519,381
MG Motor India,iQube,306.94278606965173,518,402
BYD India,Atto 3,306.86861313868616,519,411
Tata Motors,ZS EV,306.60779816513764,519,436
Ola Electric,Nexon EV,306.44803695150114,519,433
Mahindra Electric,Nexon EV,306.37810945273634,519,402
Tata Motors,Nexon EV,306.1151960784314,519,408
Mahindra Electric,Kona EV,306.11027568922304,519,399
Mahindra Electric,XUV400,305.0632603406326,519,411
TVS Motor,450X,304.75524475524475,517,429
TVS Motor,Kona EV,304.57590361445784,517,415
Tata Motors,450X,304.4779411764706,517,408
Ola Electric,Atto 3,304.4059945504087,518,367
MG Motor India,450X,304.14683544303796,519,395
Ola Electric,ZS EV,303.98753117206985,519,401
TVS Motor,S1 Pro,303.7161125319693,517,391
Mahindra Electric,iQube,302.84240687679085,519,349
MG Motor India,Atto 3,302.7534626038781,519,361
Ather Energy,450X,302.26,518,400
Tata Motors,S1 Pro,302.18158567774935,519,391
BYD India,Nexon EV,302.16911764705884,518,408
Hyundai EV,XUV400,302.15343915343914,519,378
Ather Energy,S1 Pro,301.9456790123457,518,405
TVS Motor,Nexon EV,301.78109452736317,519,402
BYD India,ZS EV,300.6951219512195,519,410
BYD India,XUV400,299.71573604060916,519,394
Hyundai EV,Kona EV,299.63235294117646,518,408
Ola Electric,iQube,299.62631578947367,517,380
BYD India,Kona EV,298.7857142857143,515,378
Ather Energy,iQube,298.5357142857143,519,392
TVS Motor,XUV400,298.22222222222223,519,405
Ather Energy,Atto 3,297.8131313131313,518,396
MG Motor India,XUV400,297.2736572890026,518,391
MG Motor India,Kona EV,297.0307328605201,517,423
Tata Motors,Kona EV,296.7203166226913,517,379
MG Motor India,Nexon EV,296.20843672456573,517,403
Ola Electric,450X,296.16624040920715,519,391
BYD India,iQube,295.52668213457076,517,431
Hyundai EV,450X,295.4244791666667,517,384
Ola Electric,XUV400,294.44931506849315,519,365
BYD India,S1 Pro,294.1544303797468,516,395
Hyundai EV,iQube,294.1042183622829,519,403
Ola Electric,Kona EV,293.2069825436409,514,401
Ather Energy,Nexon EV,293.09090909090907,517,407
Tata Motors,Atto 3,292.979274611399,518,386
Ola Electric,S1 Pro,292.83830845771143,517,402
Ather Energy,XUV400,291.44591029023746,519,379
Tata Motors,iQube,291.28978622327793,519,421
TVS Motor,Atto 3,291.2331730769231,518,416
Hyundai EV,ZS EV,290.55641025641023,518,390
Hyundai EV,S1 Pro,290.0445026178011,519,382
TVS Motor,ZS EV,289.3475,519,400
Hyundai EV,Nexon EV,289.03743315508024,519,374
MG Motor India,S1 Pro,288.44086021505376,518,372
MG Motor India,ZS EV,288.3651960784314,517,408
Mahindra Electric,450X,288.00737100737103,519,407
BYD India,450X,287.91885441527444,518,419
Mahindra Electric,Atto 3,287.8353808353808,517,407
TVS Motor,iQube,287.6746031746032,518,378
Mahindra Electric,S1 Pro,287.4127764127764,519,407
Tata Motors,XUV400,286.1163895486936,518,421
