State,Average_Range,Maximum_Range,EV_Count
Delhi,308.51,518,700
Karnataka,306.8402394106814,519,2172
Punjab,303.36590584878746,519,1402
Kerala,303.1893448524118,517,1389
Uttar Pradesh,300.267946959305,519,2187
Rajasthan,298.34760820045557,519,2195
Telangana,297.67826086956524,519,1495
Andhra Pradesh,296.7068607068607,519,1443
Maharashtra,296.4504862953139,519,2262
Gujarat,296.40055121727147,519,2177
Odisha,296.1974219810041,519,1474
West Bengal,295.7548076923077,519,1456
Tamil Nadu,294.0275470048098,519,2287
Haryana,292.8623340321453,519,1431
Bihar,292.8133971291866,519,1463
