Make,Model,Average_Range,Average_Price,Range_per_Lakh,Vehicle_Count
Mahindra Electric,Kona EV,306.11027568922304,2580033.1403508773,14.570480134520167,399
BYD India,Nexon EV,302.16911764705884,2628660.9901960786,14.277065158190393,408
MG Motor India,iQube,306.94278606965173,2689053.6119402987,14.23748259735653,402
Mahindra Electric,Nexon EV,306.37810945273634,2653191.3233830845,14.18730824423721,402
Ather Energy,Kona EV,311.4271844660194,2673457.286407767,14.156289195142552,412
Ather Energy,S1 Pro,301.9456790123457,2666354.696296296,14.099982345318828,405
MG Motor India,450X,304.14683544303796,2656850.541772152,14.087028967425269,395
TVS Motor,Kona EV,304.57590361445784,2658574.8433734938,14.052257724034796,415
BYD India,Atto 3,306.86861313868616,2739919.97080292,13.821219091042394,411
Tata Motors,ZS EV,306.60779816513764,2684433.6444954127,13.756270098395493,436
Ather Energy,Atto 3,297.8131313131313,2618549.4191919193,13.74387028789764,396
Ola Electric,ZS EV,303.98753117206985,2663807.7780548627,13.742949365876125,401
BYD India,ZS EV,300.6951219512195,2662153.6707317075,13.72050304077138,410
Mahindra Electric,iQube,302.84240687679085,2716465.575931232,13.678650067695026,349
Ola Electric,Nexon EV,306.44803695150114,2754337.5103926095,13.666770616254096,433
Hyundai EV,Atto 3,307.0813648293963,2700009.196850394,13.564969563794342,381
Mahindra Electric,ZS EV,307.2857142857143,2750551.606557377,13.558995500101243,427
BYD India,XUV400,299.71573604060916,2730374.4187817257,13.554104734039248,394
Hyundai EV,iQube,294.1042183622829,2632217.6054590573,13.543519834636607,403
Ola Electric,Atto 3,304.4059945504087,2708010.1253405996,13.505447872071224,367
Tata Motors,Kona EV,296.7203166226913,2633011.480211082,13.504733535430574,379
BYD India,iQube,295.52668213457076,2612796.046403712,13.504658107729764,431
MG Motor India,S1 Pro,288.44086021505376,2639627.005376344,13.50454981556946,372
TVS Motor,450X,304.75524475524475,2707121.6083916086,13.486498731253345,429
MG Motor India,XUV400,297.2736572890026,2690301.1253196932,13.461442687246103,391
MG Motor India,Atto 3,302.7534626038781,2740552.6620498616,13.452934760850674,361
Ola Electric,Kona EV,293.2069825436409,2641193.4912718204,13.433875987844079,401
Tata Motors,Nexon EV,306.1151960784314,2766088.1421568627,13.421700804639341,408
Tata Motors,Atto 3,292.979274611399,2642809.4715025905,13.376159399932412,386
Ather Energy,iQube,298.5357142857143,2724941.951530612,13.363836032281906,392
Mahindra Electric,XUV400,305.0632603406326,2725682.9562043794,13.356870843451686,411
Ola Electric,XUV400,294.44931506849315,2736770.106849315,13.300323765872209,365
MG Motor India,Kona EV,297.0307328605201,2697163.929078014,13.285760431195646,423
Hyundai EV,XUV400,302.15343915343914,2705563.994708995,13.25386229434131,378
TVS Motor,XUV400,298.22222222222223,2675037.409876543,13.204431707351423,405
Ola Electric,iQube,299.62631578947367,2726676.8105263156,13.186014125743666,380
Hyundai EV,450X,295.4244791666667,2700199.65625,13.183464520713928,384
TVS Motor,Nexon EV,301.78109452736317,2721246.1666666665,13.164703613429483,402
BYD India,Kona EV,298.7857142857143,2710231.9285714286,13.140291648431232,378
Ather Energy,ZS EV,307.5911330049261,2806989.359605911,13.120682982664743,406
BYD India,450X,287.91885441527444,2691303.3198090694,13.117987959268612,419
Ather Energy,450X,302.26,2776330.805,13.10526743295326,400
Tata Motors,iQube,291.28978622327793,2641409.6413301663,13.10378589369951,421
Hyundai EV,Kona EV,299.63235294117646,2758576.036764706,13.092103063975268,408
TVS Motor,S1 Pro,303.7161125319693,2742370.1943734013,13.081148462166109,391
Tata Motors,S1 Pro,302.18158567774935,2722319.895140665,13.066078882599937,391
Ola Electric,450X,296.16624040920715,2705867.452685422,13.038126108225502,391
Ola Electric,S1 Pro,292.83830845771143,2692063.726368159,13.024668874697687,402
BYD India,S1 Pro,294.1544303797468,2755543.9367088606,13.022016803476532,395
TVS Motor,iQube,287.6746031746032,2693202.224867725,12.98281086246481,378
Tata Motors,XUV400,286.1163895486936,2655930.427553444,12.975557599575453,421
Tata Motors,450X,304.4779411764706,2804860.007352941,12.88863197477778,408
Hyundai EV,S1 Pro,290.0445026178011,2704996.096858639,12.872961912492759,382
Hyundai EV,ZS EV,290.55641025641023,2669992.3435897436,12.807191872203015,390
MG Motor India,Nexon EV,296.20843672456573,2757225.682382134,12.785524066539569,403
Mahindra Electric,Atto 3,287.8353808353808,2722443.312039312,12.71783512251283,407
Ather Energy,Nexon EV,293.09090909090907,2739441.358722359,12.711270297868742,407
Ather Energy,XUV400,291.44591029023746,2798408.588390501,12.703387989797829,379
Mahindra Electric,S1 Pro,287.4127764127764,2715429.950859951,12.647309778823194,407
MG Motor India,ZS EV,288.3651960784314,2732720.9975490198,12.631981732943004,408
Hyundai EV,Nexon EV,289.03743315508024,2761095.310160428,12.550115127365402,374
Mahindra Electric,450X,288.00737100737103,2775314.3562653563,12.526068092603168,407
TVS Motor,Atto 3,291.2331730769231,2756463.7139423075,12.514663366639367,416
TVS Motor,ZS EV,289.3475,2754261.9525,12.315630314251605,400
