Make,Model,Average_Price,Average_Range,Vehicle_Count
Ather Energy,ZS EV,2806989.359605911,307.5911330049261,406
Tata Motors,450X,2804860.007352941,304.4779411764706,408
Ather Energy,XUV400,2798408.588390501,291.44591029023746,379
Ather Energy,450X,2776330.805,302.26,400
Mahindra Electric,450X,2775314.3562653563,288.00737100737103,407
Tata Motors,Nexon EV,2766088.1421568627,306.1151960784314,408
Hyundai EV,Nexon EV,2761095.310160428,289.03743315508024,374
Hyundai EV,Kona EV,2758576.036764706,299.63235294117646,408
MG Motor India,Nexon EV,2757225.682382134,296.20843672456573,403
TVS Motor,Atto 3,2756463.7139423075,291.2331730769231,416
BYD India,S1 Pro,2755543.9367088606,294.1544303797468,395
Ola Electric,Nexon EV,2754337.5103926095,306.44803695150114,433
TVS Motor,ZS EV,2754261.9525,289.3475,400
Mahindra Electric,ZS EV,2750551.606557377,307.2857142857143,427
TVS Motor,S1 Pro,2742370.1943734013,303.7161125319693,391
MG Motor India,Atto 3,2740552.6620498616,302.7534626038781,361
BYD India,Atto 3,2739919.97080292,306.86861313868616,411
Ather Energy,Nexon EV,2739441.358722359,293.09090909090907,407
Ola Electric,XUV400,2736770.106849315,294.44931506849315,365
MG Motor India,ZS EV,2732720.9975490198,288.3651960784314,408
BYD India,XUV400,2730374.4187817257,299.71573604060916,394
Ola Electric,iQube,2726676.8105263156,299.62631578947367,380
Mahindra Electric,XUV400,2725682.9562043794,305.0632603406326,411
Ather Energy,iQube,2724941.951530612,298.5357142857143,392
Mahindra Electric,Atto 3,2722443.312039312,287.8353808353808,407
Tata Motors,S1 Pro,2722319.895140665,302.18158567774935,391
TVS Motor,Nexon EV,2721246.1666666665,301.78109452736317,402
Mahindra Electric,iQube,2716465.575931232,302.84240687679085,349
Mahindra Electric,S1 Pro,2715429.950859951,287.4127764127764,407
BYD India,Kona EV,2710231.9285714286,298.7857142857143,378
Ola Electric,Atto 3,2708010.1253405996,304.4059945504087,367
TVS Motor,450X,2707121.6083916086,304.75524475524475,429
Ola Electric,450X,2705867.452685422,296.16624040920715,391
Hyundai EV,XUV400,2705563.994708995,302.15343915343914,378
Hyundai EV,S1 Pro,2704996.096858639,290.0445026178011,382
Hyundai EV,450X,2700199.65625,295.4244791666667,384
Hyundai EV,Atto 3,2700009.196850394,307.0813648293963,381
MG Motor India,Kona EV,2697163.929078014,297.0307328605201,423
TVS Motor,iQube,2693202.224867725,287.6746031746032,378
Ola Electric,S1 Pro,2692063.726368159,292.83830845771143,402
BYD India,450X,2691303.3198090694,287.91885441527444,419
MG Motor India,XUV400,2690301.1253196932,297.2736572890026,391
MG Motor India,iQube,2689053.6119402987,306.94278606965173,402
Tata Motors,ZS EV,2684433.6444954127,306.60779816513764,436
TVS Motor,XUV400,2675037.409876543,298.22222222222223,405
Ather Energy,Kona EV,2673457.286407767,311.4271844660194,412
Hyundai EV,ZS EV,2669992.3435897436,290.55641025641023,390
Ather Energy,S1 Pro,2666354.696296296,301.9456790123457,405
Ola Electric,ZS EV,2663807.7780548627,303.98753117206985,401
BYD India,ZS EV,2662153.6707317075,300.6951219512195,410
TVS Motor,Kona EV,2658574.8433734938,304.57590361445784,415
MG Motor India,450X,2656850.541772152,304.14683544303796,395
Tata Motors,XUV400,2655930.427553444,286.1163895486936,421
Mahindra Electric,Nexon EV,2653191.3233830845,306.37810945273634,402
Tata Motors,Atto 3,2642809.4715025905,292.979274611399,386
Tata Motors,iQube,2641409.6413301663,291.28978622327793,421
Ola Electric,Kona EV,2641193.4912718204,293.2069825436409,401
MG Motor India,S1 Pro,2639627.005376344,288.44086021505376,372
Tata Motors,Kona EV,2633011.480211082,296.7203166226913,379
Hyundai EV,iQube,2632217.6054590573,294.1042183622829,403
BYD India,Nexon EV,2628660.9901960786,302.16911764705884,408
Ather Energy,Atto 3,2618549.4191919193,297.8131313131313,396
BYD India,iQube,2612796.046403712,295.52668213457076,431
Mahindra Electric,Kona EV,2580033.1403508773,306.11027568922304,399
